n_activities,n_dependencies,n_dus,n_dps,n_dus_edges,dus_distance_to_end,dataset,instance
32,48,10,14,20,1.8,j30,j3010_1.sm
32,48,9,12,18,1.7777777777777777,j30,j3010_10.sm
32,48,10,18,20,1.9,j30,j3010_2.sm
32,48,10,15,17,1.8,j30,j3010_3.sm
32,48,11,17,21,1.9090909090909092,j30,j3010_4.sm
32,48,8,14,14,2.0,j30,j3010_5.sm
32,48,9,15,17,1.6666666666666667,j30,j3010_6.sm
32,48,9,15,17,2.0,j30,j3010_7.sm
32,48,9,12,15,1.8888888888888888,j30,j3010_8.sm
32,48,9,12,16,1.7777777777777777,j30,j3010_9.sm
32,48,11,16,23,1.7272727272727273,j30,j3011_1.sm
32,48,10,14,19,1.8,j30,j3011_10.sm
32,48,10,15,20,1.6,j30,j3011_2.sm
32,48,14,19,28,1.8571428571428572,j30,j3011_3.sm
32,48,11,18,20,2.0,j30,j3011_4.sm
32,48,10,17,19,1.8,j30,j3011_5.sm
32,48,10,15,21,1.6,j30,j3011_6.sm
32,48,9,15,18,1.8888888888888888,j30,j3011_7.sm
32,48,11,16,23,1.7272727272727273,j30,j3011_8.sm
32,48,12,18,23,1.9166666666666667,j30,j3011_9.sm
32,48,9,13,15,1.8888888888888888,j30,j3012_1.sm
32,48,10,14,19,1.8,j30,j3012_10.sm
32,48,10,15,22,1.6,j30,j3012_2.sm
32,48,10,15,23,1.6,j30,j3012_3.sm
32,48,10,16,22,1.7,j30,j3012_4.sm
32,48,10,14,19,1.8,j30,j3012_5.sm
32,48,10,16,20,1.6,j30,j3012_6.sm
32,48,10,16,20,2.1,j30,j3012_7.sm
32,48,9,11,16,1.8888888888888888,j30,j3012_8.sm
32,48,9,16,18,1.6666666666666667,j30,j3012_9.sm
32,48,10,14,19,1.8,j30,j3013_1.sm
32,48,11,15,22,1.9090909090909092,j30,j3013_10.sm
32,48,9,12,16,1.7777777777777777,j30,j3013_2.sm
32,48,10,16,19,1.8,j30,j3013_3.sm
