m,n_dus_edges,n_skip,C,L,version_ref,n_dependencies,C_spine,L_spine,C_spine_sd,L_spine_sd,C_fwd,L_fwd,m_fwd
52,68,17,0.06666666666666667,12.153846153846153,5Q1wD8XsCJlTy8K,118,0.08555555555555555,12.698076923076924,0.009362388636862624,0.3619831553176583,,,
19,64,46,0.44148936170212766,2.526315789473684,5ND5EuDedP1O087,1073,0.4367021276595745,2.71578947368421,0.006041391857234331,0.09024435894464346,,,
26,85,60,0.3944636678200692,3.769230769230769,b2j78jiQ38t7SLR,785,0.3903114186851211,3.775,0.007057466454799698,0.09826527916185546,,,
48,79,32,0.27419354838709675,5.8125,hFe32J7iUMgQ8p4,132,0.2314516129032258,6.086458333333335,0.01693548387096774,0.23369345349909434,,,
79,435,357,0.2470634299138606,3.3797468354430378,q67d2yz6Khp6UQ2,1419,0.21090446358653098,3.0955696202531646,0.004781431911688803,0.03890732377038903,,,
29,140,112,0.40809443507588533,2.586206896551724,z7fLm7koa8zoI5e,487,0.40876897133220913,2.618965517241379,0.006518093790923331,0.10765857424654592,0.5901843924738206,2.389863542254847,22.5
119,384,266,0.2134423251589464,3.2016806722689077,H2N9b88nYdD0UPu,1216,0.2181198910081744,2.8382352941176463,0.009720029239765879,0.08679801789963701,,,
36,159,124,0.32653061224489793,3.5833333333333335,Z8WM1400PlcPLCB,462,0.2911807580174927,3.0805555555555553,0.008114638070715679,0.10932593696752455,,,
73,118,46,0.1751412429378531,16.972602739726028,t7J7O1DlpVH1NxQ,260,0.12881355932203392,15.107534246575344,0.013441104241096407,0.3919645847414016,,,
76,441,366,0.2727272727272727,2.8289473684210527,M3361a149Mx714X,1339,0.23392045454545457,2.905263157894737,0.00515829962115759,0.10694381987482154,,,
69,348,280,0.2542372881355932,2.8260869565217392,M15wA6GI2WC5kD8,1005,0.23074225599064874,2.8681159420289855,0.00621722321307876,0.08670252760084654,,,
20,20,1,0.05,9.4,grXgh8AxL4hlk6y,55,,,,,0.024069264069264067,8.976909620307454,19.7
109,327,219,0.21896162528216703,5.944954128440367,TZEACiHteYMG1K8,1107,0.24497742663656882,5.963761467889908,0.017725750702669466,0.11312618564072478,0.6586785698871963,3.7255507246376807,24.5
64,194,131,0.34508076358296624,13.34375,GC03c7B5DhW6On8,471,0.2985315712187959,8.0171875,0.00923009992940835,1.8476448532946612,,,
60,267,208,0.2753623188405797,2.7666666666666666,FiLgWIIPKYr9aIw,781,0.22728047740835464,2.854166666666667,0.006896418897240135,0.09065732182234373,,,
157,230,74,0.17585301837270342,35.2484076433121,p8KyyZXCnliWPS6,395,0.09396325459317587,14.19140127388535,0.010083660216429683,1.5638628666225944,,,
69,327,259,0.23721227621483376,2.782608695652174,bPbMZmCQbgZ29pP,958,0.20920716112531967,2.8492753623188407,0.00680458322091484,0.08292591015026066,,,
60,59,0,0.0,29.5,yqN2IkdG3Bu79EH,517,,,,,,,
34,77,44,0.2215568862275449,2.764705882352941,rgi1ZQo4Ifbo5g4,298,0.18083832335329345,3.3191176470588237,0.016022860072167248,0.23917299120758476,0.25375999399742566,2.2435458578777547,28.3
29,57,29,0.26548672566371684,4.344827586206897,XNYixJC2N22LuCf,296,0.23053097345132745,3.703448275862068,0.016431366927103667,0.19304186210039176,,,
69,327,259,0.23721227621483376,2.782608695652174,86dZ6BK9Ip3gisK,958,0.21026214833759588,2.9746376811594195,0.005892334881058106,0.09828128127953711,,,
