version_ref,n_dep,m,C,L,m_10,C_10,L_10,m_50,C_50,L_50
grXgh8AxL4hlk6y,55,20,0.05,9.4,21.0,0.02152014652014652,9.54633867276888,20.25,0.04047619047619047,9.455725591151793
z7fLm7koa8zoI5e,487,29,0.40809443507588533,2.586206896551724,21.25,0.603681929158017,2.1271645021645025,20.5,0.6392069074775047,2.134882661198451
TZEACiHteYMG1K8,1107,109,0.21896162528216703,5.944954128440367,24.5,0.6379535199079827,3.755416666666667,24.75,0.669168461351588,4.724390096618357
7feu3xxICmgcdGS,3127,103,0.3399420466676834,2.8640776699029127,54.5,0.4883273594840605,2.5485191538021725,51.0,0.5298208623591296,2.499242955047085
iq43koa6TDY5zc5,3800,139,0.27978315483273836,2.884892086330935,58.25,0.47299572633917797,1.9361430395913155,49.5,0.5076728707690341,1.981349231223863
89aRBJPyMdE28o2,4912,127,0.32764275502480866,3.4803149606299213,58.75,0.5348832596405269,2.1338834374070768,54.75,0.5449372605134304,2.3259550473159645
2i5rbbLOuo7j534,6522,108,0.30646083476272157,2.9814814814814814,75.25,0.4263349903738568,2.497075962085635,66.0,0.4747561047897621,2.6395931142410016
0xk7Hz11AGVJrAv,7195,131,0.3825195994721726,2.099236641221374,84.0,0.4252182097266293,1.6912894595577415,53.5,0.5301389187120893,1.5840904286407103
38bjsDfPwDtu7sn,9808,85,0.5285074034152153,1.4588235294117646,45.5,0.7228132432752117,1.1507322981660049,36.75,0.7760259529340116,1.1198660714285713
THG9PQF4dip8M4I,11474,57,0.68097543154626,1.736842105263158,47.75,0.6906443073809516,1.6666722417616024,40.25,0.7115456868164233,1.4803043428043428
0tZPN9ARwRL605i,14557,192,0.321880650994575,7.494791666666667,125.0,0.43399396017546193,3.213671539429758,106.75,0.4741236123496564,3.139886746885406
V3G34vlroHI93N1,17208,112,0.5092820816823188,1.2321428571428572,81.0,0.5558895440812693,1.276478152871225,61.5,0.5949786760044422,1.341711225450632
dtyqbJQK2UT4e3l,19341,68,0.5967754201840444,1.338235294117647,55.0,0.6424064744616944,1.2670172877161459,46.25,0.6799088638910252,1.1232362706526842
HkXygu50V0FeFF7,28619,92,0.7473798104097024,1.1304347826086956,49.0,0.8440740772891533,1.1075633604505633,41.5,0.8732087431052854,1.0654297017030994
4DMfleF619ex6zh,30252,128,0.5531443298969072,2.3046875,85.75,0.5862308723826178,1.2534973798131694,65.5,0.6549594536421702,1.2018287928639897
B4tZ8ubAUM3J3JF,45787,73,0.5369881109643329,26.698630136986303,69.75,0.5355220914630424,20.434078549272456,68.0,0.5308331195340122,17.602148849924586
H5I5pnCYaMruppK,66278,192,0.498117815145635,2.7864583333333335,93.25,0.7240051025304364,2.3261914534122194,72.25,0.7164171416417258,2.5045845693682907
Id855C9lCg2q39t,80196,152,0.6330255379979137,3.1052631578947367,76.5,0.8328830020188278,3.9603398467820865,80.25,0.8045228341207254,4.704016611225998
UQOcfMWWqJKjeMY,96157,171,0.5723855017216901,1.9473684210526316,86.0,0.7563606250140598,1.6516509572468876,67.5,0.7516492933988697,1.7663553917978978
jGI486CG18cOk1w,128627,154,0.6819159210112101,2.4155844155844157,83.75,0.8411739104849363,2.5253076188313437,75.75,0.8400842828442582,2.2146658140651274
